name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_4r2s1o_T1_C1",223530,4339.2,4335,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,4335.32,4332.13,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,4338.97,4335.22,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,3189.58,3187.28,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,3124.04,3121.85,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,3126.73,3123.7,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,3128.08,3125.82,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,3142.61,3140.09,ns,,,,,
"BM_tc_4r2s1o_T1_C1_mean",10,3642.47,3639.49,ns,,,,,
"BM_tc_4r2s1o_T1_C1_median",10,3277.6,3274.71,ns,,,,,
"BM_tc_4r2s1o_T1_C1_stddev",10,601.898,601.416,ns,,,,,
"BM_tc_4r2s1o_T1_C1_cv",10,0.165245,0.165247,,,,,,
"BM_tc_4r4s1o_T1_C1",2214,380189,379910,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,448687,448303,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,448455,448140,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,452166,451731,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,403574,403258,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,315031,314812,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,315431,315158,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,318275,318006,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,316695,316501,ns,,,,,
"BM_tc_4r4s1o_T1_C1",2214,317424,317113,ns,,,,,
"BM_tc_4r4s1o_T1_C1_mean",10,371593,371293,ns,,,,,
"BM_tc_4r4s1o_T1_C1_median",10,349232,348958,ns,,,,,
"BM_tc_4r4s1o_T1_C1_stddev",10,61989.6,61932.7,ns,,,,,
"BM_tc_4r4s1o_T1_C1_cv",10,0.166821,0.166803,,,,,,
"BM_tc_4r8s1o_T1_C1",19,5.16338e+07,5.15803e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,5.25173e+07,5.24757e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,5.22954e+07,5.22541e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,5.2281e+07,5.22239e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,3.90833e+07,3.9055e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,3.63288e+07,3.62941e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,3.63381e+07,3.63106e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,3.63556e+07,3.63263e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,3.64655e+07,3.64263e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1",19,3.64166e+07,3.63898e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1_mean",10,4.29715e+07,4.29336e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1_median",10,3.77744e+07,3.77407e+07,ns,,,,,
"BM_tc_4r8s1o_T1_C1_stddev",10,7.97266e+06,7.96387e+06,ns,,,,,
"BM_tc_4r8s1o_T1_C1_cv",10,0.185534,0.185493,,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.65575e+09,6.64989e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.65362e+09,6.64767e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.22526e+09,6.22e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,5.83712e+09,5.83215e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.5118e+09,6.50612e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.65084e+09,6.64528e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.42037e+09,6.415e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,5.82597e+09,5.82121e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.32109e+09,6.3155e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1",1,6.62476e+09,6.61905e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1_mean",10,6.37266e+09,6.36719e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1_median",10,6.46609e+09,6.46056e+09,ns,,,,,
"BM_tc_4r16s1o_T1_C1_stddev",10,3.21752e+08,3.21393e+08,ns,,,,,
"BM_tc_4r16s1o_T1_C1_cv",10,0.0504895,0.0504764,,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1385.06,1384.13,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1386.2,1384.95,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1389.8,1388.85,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1654.95,1653.77,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1955.13,1953.38,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1955.68,1954.38,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1955.65,1953.69,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1808.84,1807.62,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1373.45,1372.35,ns,,,,,
"BM_tc_4r2s2o_T1_C1",503069,1377.55,1376.77,ns,,,,,
"BM_tc_4r2s2o_T1_C1_mean",10,1624.23,1622.99,ns,,,,,
"BM_tc_4r2s2o_T1_C1_median",10,1522.38,1521.31,ns,,,,,
"BM_tc_4r2s2o_T1_C1_stddev",10,270.138,269.849,ns,,,,,
"BM_tc_4r2s2o_T1_C1_cv",10,0.166317,0.166267,,,,,,
"BM_tc_4r4s2o_T1_C1",10226,68718.7,68648.6,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,68700.5,68645.5,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,68581.1,68532.1,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,81265.8,81186,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,98375.4,98308,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,98471.5,98371,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,101560,101477,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,87585.7,87508.5,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,67853.9,67813.8,ns,,,,,
"BM_tc_4r4s2o_T1_C1",10226,68798.7,68753.3,ns,,,,,
"BM_tc_4r4s2o_T1_C1_mean",10,80991.1,80924.4,ns,,,,,
"BM_tc_4r4s2o_T1_C1_median",10,75032.2,74969.7,ns,,,,,
"BM_tc_4r4s2o_T1_C1_stddev",10,14342.4,14327.4,ns,,,,,
"BM_tc_4r4s2o_T1_C1_cv",10,0.177086,0.177046,,,,,,
"BM_tc_4r8s2o_T1_C1",166,4.21078e+06,4.20696e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,4.21602e+06,4.21305e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,4.35822e+06,4.35367e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,6.10363e+06,6.09948e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,6.10851e+06,6.10292e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,6.10498e+06,6.10046e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,6.10691e+06,6.09991e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,4.17527e+06,4.17269e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,4.1912e+06,4.18877e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1",166,4.20217e+06,4.19853e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1_mean",10,4.97777e+06,4.97365e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1_median",10,4.28712e+06,4.28336e+06,ns,,,,,
"BM_tc_4r8s2o_T1_C1_stddev",10,972303,971254,ns,,,,,
"BM_tc_4r8s2o_T1_C1_cv",10,0.195329,0.19528,,,,,,
"BM_tc_4r16s2o_T1_C1",2,3.99564e+08,3.99263e+08,ns,,,,,
"BM_tc_4r16s2o_T1_C1",2,3.98615e+08,3.98219e+08,ns,,,,,
"BM_tc_4r16s2o_T1_C1",2,6.06816e+08,6.06333e+08,ns,,,,,
"BM_tc_4r16s2o_T1_C1",2,6.2552e+08,6.24912e+08,ns,,,,,
"BM_tc_4r16s2o_T1_C1",2,6.25848e+08,6.2532e+08,ns,,,,,
"BM_tc_4r16s2o_T1_C1",2,4.79902e+08,4.79431e+08,ns,,,,,
